transaction_id,customer_id,product_id,quantity,timestamp
1,CUST_334,PROD_16,2,2025-12-31 05:13:32
2,CUST_191,PROD_74,2,2026-01-03 04:40:26
3,CUST_269,PROD_51,4,2026-01-15 18:18:36
4,CUST_61,PROD_92,5,2026-01-24 08:15:05
5,CUST_223,PROD_55,4,2026-01-01 13:19:15
6,CUST_355,PROD_95,1,2026-01-17 11:10:29
7,CUST_440,PROD_72,4,2026-01-08 23:57:31
8,CUST_162,PROD_49,5,2025-12-30 21:38:42
9,CUST_30,PROD_79,4,2026-01-17 21:38:00
10,CUST_479,PROD_30,3,2026-01-11 02:16:23
11,CUST_214,PROD_1,2,2026-01-01 01:04:41
12,CUST_204,PROD_99,2,2026-01-11 15:09:57
13,CUST_352,PROD_57,1,2026-01-05 00:25:12
14,CUST_350,PROD_1,5,2025-12-31 13:46:27
15,CUST_172,PROD_36,4,2026-01-07 12:51:53
16,CUST_370,PROD_67,3,2026-01-05 20:32:56
17,CUST_245,PROD_78,1,2026-01-11 23:40:04
18,CUST_105,PROD_90,4,2026-01-03 08:23:22
19,CUST_225,PROD_30,5,2025-12-28 19:02:25
20,CUST_438,PROD_50,2,2026-01-04 15:01:02
21,CUST_41,PROD_71,5,2026-01-19 00:25:25
22,CUST_488,PROD_83,1,2026-01-10 21:41:04
23,CUST_73,PROD_12,2,2026-01-24 17:18:59
24,CUST_227,PROD_92,1,2026-01-12 15:32:09
25,CUST_298,PROD_51,1,2026-01-25 04:23:07
26,CUST_246,PROD_95,5,2026-01-04 08:18:35
27,CUST_272,PROD_7,1,2025-12-31 02:20:00
28,CUST_138,PROD_26,5,2026-01-11 13:40:20
29,CUST_443,PROD_31,2,2026-01-03 09:11:50
30,CUST_389,PROD_67,3,2025-12-30 14:07:04
31,CUST_430,PROD_90,2,2026-01-06 15:30:04
32,CUST_489,PROD_70,5,2026-01-19 21:57:24
33,CUST_294,PROD_31,1,2026-01-23 13:12:41
34,CUST_439,PROD_84,1,2025-12-28 23:59:38
35,CUST_217,PROD_97,5,2026-01-14 18:43:36
36,CUST_261,PROD_26,4,2026-01-13 06:22:12
37,CUST_140,PROD_41,1,2026-01-27 02:54:43
38,CUST_327,PROD_86,3,2026-01-13 20:00:37
39,CUST_359,PROD_86,2,2026-01-18 05:23:26
40,CUST_105,PROD_88,1,2026-01-05 07:50:37
41,CUST_335,PROD_90,4,2026-01-04 01:23:50
42,CUST_64,PROD_10,4,2026-01-01 09:50:35
43,CUST_71,PROD_17,4,2025-12-30 09:37:42
44,CUST_113,PROD_9,5,2026-01-23 04:05:37
45,CUST_331,PROD_59,2,2026-01-15 00:04:08
46,CUST_46,PROD_99,3,2026-01-15 22:45:32
47,CUST_125,PROD_51,5,2026-01-14 19:43:01
48,CUST_253,PROD_13,4,2026-01-19 02:05:36
49,CUST_282,PROD_61,1,2026-01-21 10:28:12
50,CUST_491,PROD_7,5,2026-01-17 05:32:48
51,CUST_177,PROD_32,2,2026-01-23 22:19:15
52,CUST_23,PROD_48,2,2026-01-19 22:38:32
53,CUST_282,PROD_4,3,2026-01-14 13:46:39
54,CUST_488,PROD_47,3,2026-01-08 17:23:47
55,CUST_129,PROD_71,4,2026-01-07 01:01:17
56,CUST_33,PROD_81,3,2026-01-04 17:11:10
57,CUST_309,PROD_1,5,2026-01-24 00:17:18
58,CUST_30,PROD_94,1,2026-01-13 08:11:15
59,CUST_187,PROD_99,4,2026-01-03 17:03:47
60,CUST_141,PROD_34,2,2026-01-06 14:47:19
61,CUST_332,PROD_91,5,2026-01-01 11:45:11
62,CUST_6,PROD_27,1,2026-01-16 07:38:33
63,CUST_98,PROD_85,4,2025-12-30 08:54:43
64,CUST_186,PROD_90,1,2026-01-13 05:17:07
65,CUST_252,PROD_29,4,2026-01-08 02:32:27
66,CUST_426,PROD_19,3,2025-12-30 16:12:37
67,CUST_455,PROD_92,4,2026-01-14 21:22:38
68,CUST_465,PROD_41,1,2026-01-25 21:39:47
69,CUST_407,PROD_40,3,2026-01-27 05:52:49
70,CUST_318,PROD_14,2,2026-01-19 20:42:07
71,CUST_19,PROD_65,5,2026-01-26 18:23:55
72,CUST_183,PROD_9,2,2025-12-30 06:45:04
73,CUST_260,PROD_39,3,2026-01-10 06:44:35
74,CUST_479,PROD_58,3,2025-12-29 12:26:33
75,CUST_248,PROD_11,4,2026-01-09 16:15:28
76,CUST_500,PROD_21,3,2026-01-03 14:32:04
77,CUST_102,PROD_13,5,2026-01-05 07:28:04
